Time,itemName,unitPrice
2025-01-17 13:02,무색 큐브 조각,46
2025-01-17 13:02,모순의 결정체,47269
2025-01-17 13:02,레어 소울 결정,141041
2025-01-17 13:02,유니크 소울 결정,403637
2025-01-17 13:02,레전더리 소울 결정,2210479
2025-01-17 13:02,에픽 소울 결정,8741103
2025-01-18 23:48,무색 큐브 조각,49
2025-01-18 23:48,모순의 결정체,51457
2025-01-18 23:48,레어 소울 결정,168060
2025-01-18 23:48,유니크 소울 결정,508080
2025-01-18 23:48,레전더리 소울 결정,2322732
2025-01-18 23:48,에픽 소울 결정,7932722
2025-01-20 11:15,무색 큐브 조각,48
2025-01-20 11:15,모순의 결정체,50172
2025-01-20 11:15,레어 소울 결정,169282
2025-01-20 11:15,유니크 소울 결정,402608
2025-01-20 11:15,레전더리 소울 결정,2643067
2025-01-20 11:15,에픽 소울 결정,8016844
2025-01-21 09:46,무색 큐브 조각,52
2025-01-21 09:46,모순의 결정체,54466
2025-01-21 09:46,레어 소울 결정,193974
2025-01-21 09:46,유니크 소울 결정,488182
2025-01-21 09:46,레전더리 소울 결정,2859111
2025-01-21 09:46,에픽 소울 결정,9462087
2025-01-22 12:30,무색 큐브 조각,50
2025-01-22 12:30,모순의 결정체,52005
2025-01-22 12:30,레어 소울 결정,176483
2025-01-22 12:30,유니크 소울 결정,477167
2025-01-22 12:30,레전더리 소울 결정,3068275
2025-01-22 12:30,에픽 소울 결정,9670980
2025-01-23 10:40,무색 큐브 조각,48
2025-01-23 10:40,모순의 결정체,52076
2025-01-23 10:40,레어 소울 결정,141907
2025-01-23 10:40,유니크 소울 결정,351769
2025-01-23 10:40,레전더리 소울 결정,2528344
2025-01-23 10:40,에픽 소울 결정,8858931
2025-01-24 14:32,무색 큐브 조각,43
2025-01-24 14:32,모순의 결정체,45418
2025-01-24 14:32,레어 소울 결정,144796
2025-01-24 14:32,유니크 소울 결정,345318
2025-01-24 14:32,레전더리 소울 결정,2211168
2025-01-24 14:32,에픽 소울 결정,7885026
2025-01-26 11:49,무색 큐브 조각,42
2025-01-26 11:49,모순의 결정체,43902
2025-01-26 11:49,레어 소울 결정,144730
2025-01-26 11:49,유니크 소울 결정,399862
2025-01-26 11:49,레전더리 소울 결정,2374667
2025-01-26 11:49,에픽 소울 결정,8116586
2025-01-26 11:50,무색 큐브 조각,42
2025-01-26 11:50,모순의 결정체,43900
2025-01-26 11:50,레어 소울 결정,144437
2025-01-26 11:50,유니크 소울 결정,399526
2025-01-26 11:50,레전더리 소울 결정,2382873
2025-01-26 11:50,에픽 소울 결정,8113922
2025-01-26 11:50,태초 소울 결정,83926292
2025-01-27 18:45,무색 큐브 조각,41
2025-01-27 18:45,모순의 결정체,41591
2025-01-27 18:45,레어 소울 결정,147501
2025-01-27 18:45,유니크 소울 결정,365565
2025-01-27 18:45,레전더리 소울 결정,2405232
2025-01-27 18:45,에픽 소울 결정,7807929
2025-01-27 18:45,태초 소울 결정,84002391
2025-01-29 21:35,무색 큐브 조각,38
2025-01-29 21:35,모순의 결정체,40532
2025-01-29 21:35,레어 소울 결정,147756
2025-01-29 21:35,유니크 소울 결정,349295
2025-01-29 21:35,레전더리 소울 결정,2357291
2025-01-29 21:35,에픽 소울 결정,7341711
2025-01-29 21:35,태초 소울 결정,83123299
2025-01-31 00:35,무색 큐브 조각,40
2025-01-31 00:35,모순의 결정체,41302
2025-01-31 00:35,레어 소울 결정,129196
2025-01-31 00:35,유니크 소울 결정,299697
2025-01-31 00:35,레전더리 소울 결정,1898006
2025-01-31 00:35,에픽 소울 결정,6536107
2025-01-31 00:35,태초 소울 결정,68369199
2025-01-31 19:32,무색 큐브 조각,40
2025-01-31 19:32,모순의 결정체,41234
2025-01-31 19:32,레어 소울 결정,125148
2025-01-31 19:32,유니크 소울 결정,289838
2025-01-31 19:32,레전더리 소울 결정,1921415
2025-01-31 19:32,에픽 소울 결정,6086325
2025-01-31 19:32,태초 소울 결정,66954308
2025-02-02 17:25,무색 큐브 조각,40
2025-02-02 17:25,모순의 결정체,41414
2025-02-02 17:25,레어 소울 결정,124348
2025-02-02 17:25,유니크 소울 결정,320110
2025-02-02 17:25,레전더리 소울 결정,1974048
2025-02-02 17:25,에픽 소울 결정,6337653
2025-02-02 17:25,태초 소울 결정,67865504
2025-02-03 14:08,무색 큐브 조각,41
2025-02-03 14:08,모순의 결정체,42374
2025-02-03 14:08,레어 소울 결정,128969
2025-02-03 14:08,유니크 소울 결정,321325
2025-02-03 14:08,레전더리 소울 결정,1942105
2025-02-03 14:08,에픽 소울 결정,6228128
2025-02-03 14:08,태초 소울 결정,71165044
2025-02-04 08:56,무색 큐브 조각,44
2025-02-04 08:56,모순의 결정체,46184
2025-02-04 08:56,레어 소울 결정,124572
2025-02-04 08:56,유니크 소울 결정,320465
2025-02-04 08:56,레전더리 소울 결정,2072930
2025-02-04 08:56,에픽 소울 결정,6415305
2025-02-04 08:56,태초 소울 결정,73910861
2025-02-05 10:43,무색 큐브 조각,44
2025-02-05 10:43,모순의 결정체,47480
2025-02-05 10:43,레어 소울 결정,121397
2025-02-05 10:43,유니크 소울 결정,322019
2025-02-05 10:43,레전더리 소울 결정,1969523
2025-02-05 10:43,에픽 소울 결정,6643990
2025-02-05 10:43,태초 소울 결정,77752008
2025-02-05 18:48,무색 큐브 조각,44
2025-02-05 18:48,모순의 결정체,45912
2025-02-05 18:48,레어 소울 결정,134144
2025-02-05 18:48,유니크 소울 결정,315891
2025-02-05 18:48,레전더리 소울 결정,2311882
2025-02-05 18:48,에픽 소울 결정,7197016
2025-02-05 18:48,태초 소울 결정,77634757
2025-02-06 12:56,무색 큐브 조각,45
2025-02-06 12:56,모순의 결정체,46054
2025-02-06 12:56,레어 소울 결정,93324
2025-02-06 12:56,유니크 소울 결정,314822
2025-02-06 12:56,레전더리 소울 결정,1856633
2025-02-06 12:56,에픽 소울 결정,6557502
2025-02-06 12:56,태초 소울 결정,73123297
2025-02-07 09:04,무색 큐브 조각,48
2025-02-07 09:04,모순의 결정체,50219
2025-02-07 09:04,레어 소울 결정,106200
2025-02-07 09:04,유니크 소울 결정,258618
2025-02-07 09:04,레전더리 소울 결정,1766010
2025-02-07 09:04,에픽 소울 결정,5913807
2025-02-07 09:04,태초 소울 결정,63578438
2025-02-07 15:28,무색 큐브 조각,47
2025-02-07 15:28,모순의 결정체,49118
2025-02-07 15:28,레어 소울 결정,99276
2025-02-07 15:28,유니크 소울 결정,318123
2025-02-07 15:28,레전더리 소울 결정,1720885
2025-02-07 15:28,에픽 소울 결정,6219910
2025-02-07 15:28,태초 소울 결정,59388436
2025-02-09 20:01,무색 큐브 조각,46
2025-02-09 20:01,모순의 결정체,48196
2025-02-09 20:01,레어 소울 결정,97505
2025-02-09 20:01,유니크 소울 결정,287984
