date,레어 소울 결정,레전더리 소울 결정,모순의 결정체,무색 큐브 조각,에픽 소울 결정,유니크 소울 결정,태초 소울 결정
2025-01-26,144583,2378770,43901,42,8115254,399694,83926292
2025-01-27,147501,2405232,41591,41,7807929,365565,84002391
2025-01-28,147628,2381261,41061,39,7574820,357430,83562845
2025-01-29,147756,2357291,40532,38,7341711,349295,83123299
2025-01-30,137464,2133500,40900,39,6826463,322031,75392526
2025-01-31,127172,1909710,41268,40,6311216,294767,67661753
2025-02-01,125760,1941879,41341,40,6324434,307438,67763628
2025-02-02,124348,1974048,41414,40,6337653,320110,67865504
2025-02-03,128969,1942105,42374,41,6228128,321325,71165044
2025-02-04,124572,2072930,46184,44,6415305,320465,73910861
2025-02-05,127770,2140702,46696,44,6920503,318955,77693382
2025-02-06,93324,1856633,46054,45,6557502,314822,73123297
2025-02-07,102738,1743447,49668,47,6066858,288370,61483437
2025-02-08,100121,1720922,48932,46,5865008,288177,59418852
2025-02-09,97505,1698397,48196,46,5663159,287984,57354267
2025-02-10,98456,1657603,47875,46,5426592,271912,57467112
2025-02-11,105540,1695099,49537,47,5426896,293570,62578573
2025-02-12,116975,1800811,52005,50,5745237,302097,64943743
2025-02-13,86067,1495360,51552,50,5066592,266556,58325807
2025-02-14,79446,1365439,54486,52,4662920,296580,54906551
2025-02-15,79049,1367385,54572,52,4597669,265137,52486952
2025-02-16,78653,1369332,54658,52,4532419,233695,50067353
2025-02-17,80760,1363827,54810,52,4448932,258588,50428679
2025-02-18,83090,1407194,59059,58,4566511,230707,51435014
2025-02-19,104159,1510474,58556,57,4777979,256228,56229666
2025-02-20,82064,1308563,58979,57,4472787,255193,51700474
2025-02-21,81997,1369876,60990,58,4267868,243406,48365110
2025-02-22,77397,1331886,58880,58,4100093,258619,44949713
2025-02-23,81852,1333818,59444,57,4269511,228790,46037655
2025-02-24,79717,1369964,60497,57,4236892,242275,47427373
2025-02-25,87421,1357711,60804,58,4357228,255650,49737739
